doc,application/msword,application/msword,Microsoft Word 97/2000/XP,Document
pdf,application/pdf,application/pdf,Portable Document Format,Document
ai,application/postscript,application/postscript,Adobe Illustrator,Design
psd,image/vnd.adobe.photoshop,application/postscript,Adobe Photoshop,Design
rtf,application/rtf,application/rtf,Rich Text Format,Document
xls,application/vnd.ms-excel,application/vnd.ms-excel,Microsoft Excel 97/2000/XP,Spreadsheet
ppt,application/vnd.ms-powerpoint,application/vnd.ms-powerpoint,Microsoft PowerPoint 97/2000/XP,Presentation
ods,application/vnd.oasis.opendocument.spreadsheet,application/vnd.oasis.opendocument.spreadsheet,OpenOffice SpreadSheet,Spreadsheet
odt,application/vnd.oasis.opendocument.text,application/vnd.oasis.opendocument.text,OpenOffice Text,Document
pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,application/vnd.openxmlformats-officedocument.presentationml.presentation,Microsoft PowerPoint 2007+,Presentation
xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
",Microsoft Excel 2007+,Spreadsheet
docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Microsoft Word 2007+,Document
swf,application/x-shockwave-flash,application/x-shockwave-flash,Adobe Flash,Video
zip,application/zip,application/zip,ZIP Compressed Archive,Other
aac,audio/x-aac,audio/mp4,MPEG Audio,Audio
mp3,audio/mpeg,audio/mpeg,MPEG Audio,Audio
m4a,audio/mp4,audio/x-m4a,MPEG Audio,Audio
wma,audio/x-ms-wma,audio/x-ms-wma,Windows Media Audio,Audio
gif,image/gif,image/gif,Graphics Interchange Format,Graphics
jpg,image/jpeg,image/jpeg,Joint Picture Expert Group,Graphics
jpeg,image/jpeg,image/jpeg,Joint Picture Expert Group,Graphics
png,image/png,image/png,Portable Network Graphics,Graphics
csv,text/csv,text/csv,Comma Seperate Values,Spreadsheet
htm,text/html,text/html,HyperText Marrkup Language,Document
html,text/html,text/html,HyperText Marrkup Language,Document
txt,text/plain,text/plain,Plain Text,Document
3gp,video/3gpp,video/3gpp,3rd Generation Partnership Video,Video
mp4,audio/mp4,video/mp4,MPEG Audio,Audio
mpg,video/mpeg,video/mpeg,MPEG Video,Video
mpeg,video/mpeg,video/mpeg,MPEG Video,Video
mov,video/quicktime,video/quicktime,QuickTime Movie,Video
flv,video/x-flv,video/x-flv,Adobe Flash Video,Video
m4v,video/x-m4v,video/x-m4v,MPG Varient,Video
wmv,video/x-ms-wmv,video/x-ms-wmv,Windows Media Video,Video
avi,video/x-msvideo,video/x-msvideo,Audio Video Interleave,Video
