gibbonLanguageID","name"
1,"Afrikaans"
2,"Albanian"
3,"Arabic"
4,"Armenian"
5,"Basque"
6,"Bengali"
7,"Bulgarian"
8,"Catalan"
9,"Cambodian"
10,"Chinese (Mandarin)"
11,"Chinese (Cantonese)"
12,"Croatian"
13,"Czech"
14,"Danish"
15,"Dutch"
16,"English"
17,"Estonian"
18,"Fijian"
19,"Finnish"
20,"French"
21,"Georgian"
22,"German"
23,"Greek"
24,"Gujarati"
25,"Hebrew"
26,"Hindi"
27,"Hungarian"
28,"Icelandic"
29,"Indonesian"
30,"Irish"
31,"Italian"
32,"Japanese"
33,"Javanese"
34,"Korean"
35,"Latin"
36,"Latvian"
37,"Lithuanian"
38,"Macedonian"
39,"Malay"
40,"Malayalam"
41,"Maltese"
42,"Maori"
43,"Marathi"
44,"Mongolian"
45,"Nepali"
46,"Norwegian"
47,"Persian"
48,"Polish"
49,"Portuguese"
50,"Punjabi"
51,"Quechua"
52,"Romanian"
53,"Russian"
54,"Samoan"
55,"Serbian"
56,"Slovak"
57,"Slovenian"
58,"Spanish"
59,"Swahili"
60,"Swedish"
61,"Tamil"
62,"Tatar"
63,"Telugu"
64,"Thai"
65,"Tibetan"
66,"Tongan"
67,"Turkish"
68,"Ukrainian"
69,"Urdu"
70,"Uzbek"
71,"Vietnamese"
72,"Welsh"
73,"Xhosa"
74,"Odia"
75,"Myanmar"
76,"Burmese"
77,"Filipino"
78,"Sinhala"
